eo,han
a,
abon-,
aĉet-,買
adres-,址
aer-,氣
afabl-,
afer-,
afiŝ-,
ag-,行
agrabl-,
aĝ-,齡
ajn,
akcept-,收
akr-,
aktiv-,
akv-,水
al,
alfabet-,
ali-,
almenaŭ,
alt-,高
am-,愛
amas-,
ambaŭ,
amik-,友
amuz-,
angul-,角
anim-,
ankaŭ,
ankoraŭ,
anonc-,
anstataŭ,
antaŭ,
aparat-,
apart-,
aparten-,
apenaŭ,
aper-,
apud,
aranĝ-,
arb-,樹
art-,藝
artikol-,章
asoci-,
aspekt-,
atak-,
atend-,待
atent-,
ating-,
aŭ,
aŭd-,聽
aŭskult-,
(aŭto)bus-,
aŭt(omobil)-,車
aŭtun-,秋
av-,祖
aviad-,
b,
babil-,聊
baldaŭ,
ban-,
bank-,
bar-,
bat-,
batal-,戰
baz-,基
bedaŭr-,
bel-,美
best-,獸
bezon-,需
bibliotek-,
bicikl-,
bier-,
bild-,
bilet-,票
bird-,鳥
blank-,白
blog-,
blov-,
blu-,藍
bol-,
bon-,良
bord-,
botel-,
bov-,
brak-,
bril-,輝
bru-,
brul-,
brun-,
brust-,
bus-,
buŝ-,
c,
cel-,
centr-,中
cert-,
ceter-,
cifer-,
cigared-,
cirkl-,
ĉ,
ĉambr-,
ĉapel-,
ĉar,
ĉarm-,
ĉe,
ĉef-,
ĉemiz-,
ĉes-,
ĉeval-,
ĉi,
ĉiel-,
ĉirkaŭ,
ĉu,
d,
da,
danc-,
danĝer-,
dank-,謝
dat-,
daŭr-,
de,
decid-,
defend-,
dekstr-,
demand-,
dens-,
dent-,
depend-,
desegn-,
detal-,
dev-,
dezir-,
di-,
diferenc-,
difin-,
dik-,
dir-,
direkt-,
disk-,
diskut-,
divers-,
divid-,
do,
doktor-,
dokument-,
dolĉ-,甜
dolor-,
dom-,
domaĝ-,
don-,
donac-,
dorm-,寢
dors-,
dosier-,
dub-,
dum,
dung-,
e,
eben-,
eĉ,
eduk-,
edz-,
efektiv-,
efik-,
egal-,
ekonomi-,
ekran-,
ekskurs-,
ekspozici-,
ekster,
ekzamen-,
ekzempl-,
ekzerc-,
ekzist-,
el,
elekt-,
elektr-,
emoci-,
en,
energi-,
erar-,
esper-,
esplor-,
esprim-,
est-,是
evolu-,
f,
fabrik-,
facil-,
faden-,
fajr-,
fak-,
fakt-,
faktur-,
fal-,
fam-,
famili-,
far-,
fart-,
feliĉ-,
fenestr-,
fer-,
feri-,
ferm-,
fest-,
fiks-,
fil-,
film-,
fin-,
fingr-,
fiŝ-,
flag-,
flank-,
flav-,
flor-,
flu-,
flug-,
foj-,
foli-,
fond-,
font-,
for,
forges-,
fork-,
form-,
fort-,
fos-,
fot-,
frap-,
frat-,
fraŭl-,
fraz-,
fremd-,
frenez-,
freŝ-,
frost-,
fru-,
frukt-,
fulm-,
fum-,
funkci-,
fuŝ-,
g,
gaj-,
gajn-,
gas-,
gast-,
gazet-,
glaci-,
glas-,
glit-,
gramatik-,
grand-,
gras-,
gratul-,
grav-,
gren-,
griz-,
grup-,
gust-,
gvid-,
ĝ,
ĝarden-,
ĝen-,
ĝeneral-,
ĝentil-,
ĝis,
ĝoj-,
ĝu-,
ĝust-,
h,
halt-,
har-,
haŭt-,
hav-,
haven-,
hejm-,
hel-,
help-,
herb-,
hieraŭ,
histori-,
ho,
hodiaŭ,
hom-,
hor-,
horloĝ-,
hotel-,
hund-,犬
i,
ide-,
ideal-,
imag-,
imit-,
industri-,
infan-,
inform-,
insekt-,
instru-,
instrukci-,
insul-,
inteligent-,
intenc-,
inter,
interes-,
intern-,
interpret-,
intervju-,
invit-,
ir-,
j,
ja,
jak-,
jam,
jar-,
je,
jen,
jes,
juĝ-,
jun-,
jup-,
just-,
ĵ,
ĵet-,
ĵus,
k,
kadr-,
kaf-,
kaj,
kajer-,
kalendar-,
kalkul-,
kamp-,
kant-,
kap-,
kapabl-,
kapt-,
kar-,
kart-,
kaŝ-,
kat-,
kategori-,
kaŭz-,
kaz-,
ke,
kelk-,
kest-,
kilogram-,
kilometr-,
kin-,
kis-,
klak-,
klar-,
klas-,
klav-,
klin-,
klopod-,
klub-,
knab-,
kok-,
kol-,
kolekt-,
koler-,
kolor-,
komb-,
komenc-,
koment-,
komerc-,
komfort-,
komitat-,
kompar-,
kompat-,
