eo,han
a,
abon-,
aĉet-,買
adres-,址
aer-,氣
afabl-,
afer-,
afiŝ-,
ag-,行
agrabl-,
aĝ-,齡
ajn,
akcept-,收
akr-,
aktiv-,
akv-,水
al,
alfabet-,
ali-,
almenaŭ,
alt-,高
am-,愛
amas-,
ambaŭ,
amik-,友
amuz-,
angul-,角
anim-,魂
ankaŭ,
ankoraŭ,
anonc-,
anstataŭ,
antaŭ,
aparat-,
apart-,
aparten-,
apenaŭ,
aper-,
apud,
aranĝ-,
arb-,樹
art-,藝
artikol-,章
asoci-,
aspekt-,
atak-,
atend-,待
atent-,
ating-,
aŭ,
aŭd-,聽
aŭskult-,
(aŭto)bus-,
aŭt(omobil)-,車
aŭtun-,秋
av-,祖
aviad-,
b,
babil-,聊
baldaŭ,
ban-,
bank-,
bar-,
bat-,
batal-,戰
baz-,基
bedaŭr-,
bel-,美
best-,獸
bezon-,需
bibliotek-,
bicikl-,
bier-,
bild-,
bilet-,票
bird-,鳥
blank-,白
blog-,
blov-,
blu-,藍
bol-,
bon-,良
bord-,
botel-,
bov-,
brak-,
bril-,輝
bru-,
brul-,
brun-,
brust-,
bus-,
buŝ-,
c,
cel-,
centr-,央
cert-,
ceter-,
cifer-,
cigared-,
cirkl-,
ĉ,
ĉambr-,室
ĉapel-,
ĉar,
ĉarm-,
ĉe,
ĉef-,
ĉemiz-,
ĉes-,
ĉeval-,
ĉi,
ĉiel-,天
ĉirkaŭ,
ĉu,
d,
da,
danc-,
danĝer-,
dank-,謝
dat-,
daŭr-,
de,
decid-,
defend-,
dekstr-,
demand-,
dens-,
dent-,齒
depend-,
desegn-,
detal-,
dev-,
dezir-,
di-,神
diferenc-,
difin-,
dik-,
dir-,
direkt-,
disk-,
diskut-,
divers-,
divid-,
do,
doktor-,
dokument-,
dolĉ-,甜
dolor-,
dom-,
domaĝ-,
don-,
donac-,
dorm-,寢
dors-,
dosier-,
dub-,
dum,
dung-,
e,
eben-,
eĉ,
eduk-,
edz-,婚
efektiv-,
efik-,
egal-,
ekonomi-,
ekran-,
ekskurs-,
ekspozici-,
ekster,
ekzamen-,
ekzempl-,例
ekzerc-,
ekzist-,存
el,
elekt-,
elektr-,
emoci-,
en,
energi-,
erar-,
esper-,
esplor-,
esprim-,
est-,是
evolu-,
f,
fabrik-,
facil-,
faden-,
fajr-,火
fak-,
fakt-,
faktur-,
fal-,
fam-,
famili-,家
far-,做
fart-,
feliĉ-,
fenestr-,
fer-,
feri-,
ferm-,
fest-,
fiks-,
fil-,子
film-,
fin-,
fingr-,
fiŝ-,魚
flag-,旗
flank-,
flav-,
flor-,
flu-,
flug-,
foj-,
foli-,
fond-,
font-,
for,
forges-,忘
fork-,
form-,
fort-,
fos-,
fot-,
frap-,
frat-,
fraŭl-,
fraz-,句
fremd-,
frenez-,
freŝ-,
frost-,
fru-,
frukt-,
fulm-,
fum-,煙
funkci-,
fuŝ-,
g,
gaj-,
gajn-,
gas-,
gast-,
gazet-,
glaci-,冰
glas-,
glit-,
gramatik-,
grand-,大
gras-,肥
gratul-,
grav-,
gren-,
griz-,
grup-,群
gust-,味
gvid-,
ĝ,
ĝarden-,
ĝen-,
ĝeneral-,
ĝentil-,
ĝis,
ĝoj-,
ĝu-,
ĝust-,
h,
halt-,止
har-,
haŭt-,
hav-,
haven-,
hejm-,
hel-,
help-,助
herb-,
hieraŭ,
histori-,史
ho,
hodiaŭ,
hom-,人
hor-,時
horloĝ-,鐘
hotel-,
hund-,犬
i,
ide-,
ideal-,
imag-,
imit-,仿
industri-,
infan-,
inform-,
insekt-,虫
instru-,教
instrukci-,
insul-,
inteligent-,
intenc-,
inter,
interes-,
intern-,
interpret-,
intervju-,
invit-,
ir-,
j,
ja,
jak-,
jam,
jar-,年
je,
jen,
jes,
juĝ-,
jun-,
jup-,
just-,
ĵ,
ĵet-,
ĵus,
k,
kadr-,
kaf-,
kaj,
kajer-,
kalendar-,曆
kalkul-,
kamp-,
kant-,
kap-,
kapabl-,
kapt-,
kar-,
kart-,
kaŝ-,
kat-,貓
kategori-,
kaŭz-,
kaz-,
ke,
kelk-,
kest-,
kilogram-,
kilometr-,
kin-,
kis-,吻
klak-,
klar-,
klas-,類
klav-,
klin-,
klopod-,
klub-,
knab-,
kok-,
kol-,
kolekt-,
koler-,
